kind,batch,hidden,inter,k_chunk,fmt,mean_ms,p50_ms,p90_ms,p99_ms,throughput_tok_s
MLP,1,7168,2048,256,E4M3,0.1064,0.1065,0.1073,0.1096,9394.20
MLP,4,7168,2048,256,E4M3,0.1696,0.1693,0.1706,0.1722,23591.86
MLP,16,7168,2048,256,E4M3,0.5789,0.5786,0.5828,0.6002,27637.75
MLP,1,7168,2048,512,E4M3,0.1016,0.1014,0.1024,0.1044,9843.64
MLP,4,7168,2048,512,E4M3,0.1646,0.1647,0.1651,0.1669,24307.85
MLP,16,7168,2048,512,E4M3,0.4782,0.4781,0.4803,0.4813,33459.71
MLP,1,7168,2048,1024,E4M3,0.0965,0.0963,0.0972,0.1001,10362.93
MLP,4,7168,2048,1024,E4M3,0.1611,0.1608,0.1618,0.1639,24826.33
MLP,16,7168,2048,1024,E4M3,0.5606,0.5601,0.5624,0.5652,28543.10
MLP,1,269,131,256,E4M3,0.0354,0.0352,0.0358,0.0383,28263.92
MLP,2,269,131,256,E4M3,0.0364,0.0362,0.0369,0.0389,54940.24
MLP,4,269,131,256,E4M3,0.0362,0.0359,0.0369,0.0389,110612.58
MLP,8,269,131,256,E4M3,0.0388,0.0388,0.0392,0.0421,206451.21
MLP,16,269,131,256,E4M3,0.0395,0.0396,0.0399,0.0421,404704.34
MLP,32,269,131,256,E4M3,0.0405,0.0406,0.0410,0.0428,789359.41
MLP,1,269,131,256,E5M2,0.0348,0.0348,0.0348,0.0379,28737.38
MLP,2,269,131,256,E5M2,0.0355,0.0354,0.0359,0.0388,56381.99
MLP,4,269,131,256,E5M2,0.0360,0.0358,0.0367,0.0389,111207.49
MLP,8,269,131,256,E5M2,0.0388,0.0389,0.0393,0.0420,206110.88
MLP,16,269,131,256,E5M2,0.0396,0.0396,0.0400,0.0427,404246.29
MLP,32,269,131,256,E5M2,0.0405,0.0406,0.0410,0.0430,789303.56
MLP,1,7168,2048,1024,E4M3,0.0965,0.0964,0.0973,0.0993,10358.26
MLP,2,7168,2048,1024,E4M3,0.1174,0.1172,0.1181,0.1198,17039.89
MLP,4,7168,2048,1024,E4M3,0.1611,0.1609,0.1618,0.1638,24825.55
MLP,8,7168,2048,1024,E4M3,0.2995,0.2986,0.3012,0.3195,26710.36
MLP,16,7168,2048,1024,E4M3,0.5517,0.5599,0.5614,0.5632,28999.99
MLP,32,7168,2048,1024,E4M3,1.0356,1.0194,1.0742,1.0775,30900.75
MLP,1,7168,2048,1024,E5M2,0.0964,0.0963,0.0972,0.1002,10373.03
MLP,2,7168,2048,1024,E5M2,0.1173,0.1170,0.1180,0.1200,17052.14
MLP,4,7168,2048,1024,E5M2,0.1607,0.1607,0.1616,0.1638,24889.01
MLP,8,7168,2048,1024,E5M2,0.2987,0.2981,0.2992,0.3062,26787.06
MLP,16,7168,2048,1024,E5M2,0.5489,0.5593,0.5613,0.5634,29148.17
MLP,32,7168,2048,1024,E5M2,1.0676,1.0732,1.0772,1.0830,29973.98
